rank,symbol,name,Firm Name
001,NVDA,NVIDIA Corporation,PricewaterhouseCoopers LLP
002,AAPL,Apple Inc.,Ernst & Young LLP
003,GOOG,Alphabet Inc.,Ernst & Young LLP
004,MSFT,Microsoft Corporation,Deloitte &  Touche LLP
005,AMZN,"Amazon.com, Inc.",Ernst & Young LLP
006,AVGO,Broadcom Inc.,PricewaterhouseCoopers LLP
007,TSLA,"Tesla, Inc.",PricewaterhouseCoopers LLP
008,META,"Meta Platforms, Inc.",Ernst & Young LLP
009,MU,"Micron Technology, Inc.",PricewaterhouseCoopers LLP
010,WMT,Walmart Inc.,Ernst & Young LLP
011,AMD,"Advanced Micro Devices, Inc.",Ernst & Young LLP
012,ASML,ASML Holding N.V.,PricewaterhouseCoopers Accountants N.V.
013,INTC,Intel Corporation,Ernst & Young LLP
014,AMAT,"Applied Materials, Inc.",KPMG LLP
015,LRCX,Lam Research Corporation,Ernst & Young LLP
016,CSCO,"Cisco Systems, Inc.",PricewaterhouseCoopers LLP
017,COST,Costco Wholesale Corporation,KPMG LLP
018,ARM,Arm Holdings plc,Deloitte &  Touche LLP
019,KLAC,KLA Corporation,PricewaterhouseCoopers LLP
020,NFLX,"Netflix, Inc.",Ernst & Young LLP
021,SNDK,Sandisk Corporation,KPMG LLP
022,PLTR,Palantir Technologies Inc.,Ernst & Young LLP
023,TXN,Texas Instruments Incorporated,Ernst & Young LLP
024,PANW,"Palo Alto Networks, Inc.",Ernst & Young LLP
025,LIN,Linde plc,PricewaterhouseCoopers LLP
026,MRVL,"Marvell Technology, Inc.",Deloitte &  Touche LLP
027,WDC,Western Digital Corporation,KPMG LLP
028,STX,Seagate Technology Holdings PLC,Ernst & Young LLP
029,QCOM,QUALCOMM Incorporated,PricewaterhouseCoopers LLP
030,TMUS,"T-Mobile US, Inc.",Deloitte &  Touche LLP
031,AMGN,Amgen Inc.,Ernst & Young LLP
032,PEP,"PepsiCo, Inc.",KPMG LLP
033,ADI,"Analog Devices, Inc.",Ernst & Young LLP
034,CRWD,"CrowdStrike Holdings, Inc.",PricewaterhouseCoopers LLP
035,APP,Applovin Corporation,Deloitte &  Touche LLP
036,GILD,"Gilead Sciences, Inc.",Ernst & Young LLP
037,SHOP,Shopify Inc.,PricewaterhouseCoopers LLP
038,HON,Honeywell International Inc.,Deloitte &  Touche LLP
039,ISRG,"Intuitive Surgical, Inc.",PricewaterhouseCoopers LLP
040,BKNG,Booking Holdings Inc.,Deloitte &  Touche LLP
041,VRTX,Vertex Pharmaceuticals Incorporated,Ernst & Young LLP
042,SBUX,Starbucks Corporation,Deloitte &  Touche LLP
043,FTNT,"Fortinet, Inc.",Deloitte &  Touche LLP
044,PDD,PDD Holdings Inc.,Ernst & Young
045,CDNS,"Cadence Design Systems, Inc.",PricewaterhouseCoopers LLP
046,MAR,Marriott International,Ernst & Young LLP
047,CEG,Constellation Energy Corporation,PricewaterhouseCoopers LLP
048,MNST,Monster Beverage Corporation,Ernst & Young LLP
049,ADP,"Automatic Data Processing, Inc.",Deloitte &  Touche LLP
050,CSX,CSX Corporation,Ernst & Young LLP
051,ABNB,"Airbnb, Inc.",PricewaterhouseCoopers LLP
052,SNPS,"Synopsys, Inc.",KPMG LLP
053,DDOG,"Datadog, Inc.",Deloitte &  Touche LLP
